"X.1","X","ISBN","Title","Author","Year","Publisher","Description","Avg_Rating","Num_Pages","Ratings_Count","Text_Reviews_Count","freshNessFeature","characters","AuthorFansCount","AuthorRatings","AuthorWorksCount","ScoreList"
13,13,"0192141635","The Oxford Book of English Ghost Stories","Michael Cox",1987,"Oxford University Press","With their evocative settings amid mists and shadows, in ruinous houses, on lonely roads and wild moorlands, in abandoned churches and over-grown gardens, ghost stories have long exercised a universal fascination. Here at last is an anthology of some of the very best English ghost stories which combines a serious literary purpose with the plain intention of arousing a pleasurable fear at the doings of the dead.<br /> This selection of forty-two stories, written between 1829 and 1968, is the first to present the full range and vitality of the ghost fiction tradition by demonstrating its historical development as well as its major themes and characteristics. It includes stories by Walter Scott, M. R. James, Bram Stoker, Rudyard Kipling, Edith Wharton, Somerset Maugham and T. H. White.<br /> Elizabeth Bowen suggested that the ghost story works ""through a series of happenings whose horror lies in their being just, just, out of time,"" and the success of a story may be judged by what Edith Wharton called its ""thermometrical quality; if it sends a cold shiver down the spine, it has done its job and done it well."" The challenge of this most demanding form has been taken up by a host of writers, both 'specialists' like J. S. Le Fanu and Algernon Blackwood, and those, such as Henry James and H. G. Wells, for whom ghost stories were only a part of their literary output. Nor does this collection overlook the important contribution of women writers, with eight stories included from Amelia Edward's The Phantom Ghost (1864) to Elizabeth Bowen's Hand in Glove (1952).",4.17,504,64,9,0,9,147,3.895,178,-0.728571428571429
14,14,"019214202X","Victorian Ghost Stories: An Oxford Anthology","Michael Cox",1991,"Oxford University Press","""'I think it must have been two o'clock at least when I thought I heard a sound in that--that odious dark recess at the far end of the bedroom.... Without at first a suspicion of anything supernatural, on a sudden I saw an old man, rather stout and square, in a sort of roan-red dressing-gown, and with a black cap on his head, moving stiffly and slowly in a diagonal direction, from the recess, across the floor of the bedroom, passing my bed at the foot, and entering the lumber-closet at the left. He had something under his arm; his head hung a little at one side; and, merciful God when I saw his face....'""<br /> There's nothing like a good ghost story. And in Victorian Ghost Stories, Michael Cox and R.A. Gilbert bring together thirty-five well wrought tales of haunted houses, vengeful spirits, spectral warnings, invisible antagonists, and motiveless malignity from beyond the grave. The Victorians excelled at the ghost story, it was as much a part of their literary culture as the realistic novel, and it was practiced by almost all the great writers of the age. Cox and Gilbert here provide samples from Charles Dickens, Robert Louis Stevenson, Rudyard Kipling, Sir Arthur Conan Doyle, Henry James, and Wilkie Collins, as well as such classic ghost-story specialists as M.R. James and J.S. Le Fanu (whose ""Account of Some Strange Disturbances in Aungier Street,"" considered one of the best haunted-house story ever written, is excerpted above), plus one or two genuine rarities for the supernatural fiction enthusiast to savor. The editors also reveal the key role played by women in the growth of the genre, including stories by Elizabeth Gaskell, Mrs. Craik, Mrs. Henry Wood, Amelia B. Edwards, Charlotte Riddell, and many others. Finally, they offer an informative introduction, detailed source notes, and an extensive survey of ghost-story collections from 1850 to 1910.<br /> Traditional in its forms, but energetically inventive and infused with a relish of the supernatural, these classic ghost stories still retain their original power to unsettle and surprise. Every one is guaranteed to satisfy what Virginia Woolf called ""that strange human craving for the pleasure of feeling afraid.""<br /><br />Includes:<br /><br />The old nurse's story by Elizabeth Gaskell<br />An account of some strange disturbances in Aungier Street by J.S. Le Fanu<br />The miniature by J.Y. Akerman<br />The last house in C-Street by Dinah Mulock<br />To be taken with a grain of salt by Charles Dickens<br />The Botathen ghost by R.S. Hawker<br />The truth, the whole truth, and nothing but the truth by Rhoda Broughton<br />The romance of certain old clothes by Henry James<br />Pichon &amp; Sons, of the Croix Rousse by Anonymous<br />Reality or delusion? by Mrs Henry Wood<br />Uncle Cornelius, his story by George MacDonald<br />The shadow of a shade by Tom Hood<br />At Chrighton Abbey by Mary Elizabeth Braddon<br />No living voice by Thomas Street Millington<br />Miss Jéromette and the clergyman by Wilkie Collins<br />The story of Clifford House by Anonymous<br />Was it an illusion? by Amelia B. Edwards<br />The open door by Charlotte Riddell<br />The captain of the ""Pole-star"" by Sir Arthur Conan Doyle<br />The body-snatcher by Robert Louis Stevenson<br />The story of the rippling train by Mary Louisa Molesworth<br />At the end of the passage by Rudyard Kipling<br />""To let"" by B.M. Croker<br />John Charrington's wedding by E. Nesbit<br />The haunted organist of Hurly Burly by Rosa Mulholland<br />The man of science by Jerome K. Jerome<br />Canon Alberic's scrap-book by M.R. James<br />Jerry Bundler by W.W. Jacobs<br />An Eddy on the floor by Bernard Capes<br />The tomb of Sarah by F.G. Loring<br />The case of Vincent Pyrwhit by Barry Pain<br />The shadows on the wall by Mary E. Wilkins<br />Father Macclesfield's tale by R.H. Benson<br />Thurnley Abbey by Perceval Landon<br />The kit-bag by Algernon Blackwood",4.1,492,47,3,0,31,147,3.895,178,0.327272727272727
15,15,"0192142461","The New Oxford Book of English Prose","John Gross",1998,"Oxford University Press","Prose, strictly defined, is the ordinary form of spoken or written language. Examples of solid prose are not difficult to come by: a well argued legal judgment, a lucid scientific paper, or a readily grasped set of technical instructions. Inspired prose, however, is a much rarer thing. In The New Oxford Book of English Prose, John Gross has gathered together those rare jewels of the English language that take plain prose to artistic heights.<br /> The pared-down style of Hemingway didnt happen overnight. Beginning with Sir Thomas Malory and ending with Kazuo Ishiguro, this anthology chronologically traces the evolution of prose, which gained confidence and extended its range in the late seventeenth century. It wasnt until the eighteenth century, however, that the ornate style of literary giants like Milton and Donne gave way to prose that was recognizably modern. The material included in this anthology is literary, but literary, as the editor states in the introduction, is not the narrow term that it is often made to beit embraces an enormous range of experience and response. The New Oxford Book of English Prose pays tribute to literatures vibrant diversity by offering glimpses of master craftsmanship from around the globe. Included here are excerpts from writers of such varied backgrounds as Salman Rushdie, Margaret Atwood, Vladimir Nabokov, and Mulk Raj Anand.<br /> From the eloquent political treatises of Burke to the bold narrative strokes of Herman Melville, readers will find that the selections contained within this volume superbly illustrate the expressive powers of prose.<br />",4.54,NA,2,0,0,7,1,3.991,27,1.12083333333333
16,16,"0192177737","The Selfish Gene","Richard Dawkins",1989,"Oxford University Press","Inheriting the mantle of revolutionary biologist from Darwin, Watson, and Crick, Richard Dawkins forced an enormous change in the way we see ourselves and the world with the publication of <i>The Selfish Gene</i>. Suppose, instead of thinking about organisms using genes to reproduce themselves, as we had since Mendel's work was rediscovered, we turn it around and imagine that ""our"" genes build and maintain us in order to make more genes. That simple reversal seems to answer many puzzlers which had stumped scientists for years, and we haven't thought of evolution in the same way since. <p> Why are there miles and miles of ""unused"" DNA within each of our bodies? Why should a bee give up its own chance to reproduce to help raise her sisters and brothers? With a prophet's clarity, Dawkins told us the answers from the perspective of molecules competing for limited space and resources to produce more of their own kind. Drawing fascinating examples from every field of biology, he paved the way for a serious re-evaluation of evolution. He also introduced the concept of self-reproducing ideas, or <i>memes</i>, which (seemingly) use humans exclusively for their propagation. If we are puppets, he says, at least we can try to understand our strings. <i>--Rob Lightner</i></p>",4.11,372,58,6,1,2,9496,4.049,81,0.155
17,17,"0192629883","Oxford Handbook of Clinical Medicine","Murray Longmore",2002,"Oxford University Press","In this 5th edition of the Oxford Handbook of Clinical Medicine the authorship has evolved, and the structure of the book has been revised since first publication, making this the most comprehensive revision of this core text to date. The text has been rewritten and revised taking into account extensive market research among medical students and junior doctors. The emergency section has been significantly extended to meet the needs of first-line junior doctors. It is still banded in red for immediate access. New topics include: headaches; chest pain; breathlessness; anaphylactic shock; broad, complex tachycardia; narrow, complex tachycardia; myocardial infarction/thrombolysis; tension pneumothorax; pneumonia; cerebral abscess; acute renal failure; and GI bleeding. There is a new section on practical procedures, and a section of plates showing important X-ray images.",4.32,882,3,1,0,0,3,3.342,29,-0.25
18,18,"0192717480","Forever X","Geraldine McCaughrean",1997,"Oxford University Press","It's not the greatest start to a summer holiday. The car breaks down, miles from anywhere, and suddenly Joy and her family are stuck in the first bed-and-breakfast they can find. And it's no ordinary place. Forever X, says the sign on the house. That's strange enough. But inside, everything is even weirder - from the girl in an elf costume to the mysterious Mr Angel. And then the police arrive.... a superbly written novel, both funny and illuminating.-- School Librarian. * Geraldine McCaughrean is one of the most highly-acclaimed living children's writers. She has won the Carnegie Medal, the Whitbread Children's Novel Award (twice), the Guardian Children's Fiction Award, and the inaugural Blue Peter Book of the Year Award. * Stunning new cover design for all of Geraldine McCaughrean's novels - this title is being issued simultaneously with new matching edition of Plundering Paradise. * Funny, quirky theme will have broad appeal.",2.93,118,6,1,0,6,88,3.628,193,0.554166666666667
19,19,"019271757X","Rosie No-Name and the Forest of Forgetting","Gareth Owen",1997,"Oxford University Press","Eleven-year-old Rosie fights for her life after she falls through the crumbling stairway in a mysterious old house.",3.68,NA,1,1,0,0,0,3.185,44,-1.15
20,20,"0192717979","The Stones Are Hatching","Geraldine McCaughrean",1999,"Oxford University Press","Phelim was the only one who could save the world from the Hatchlings of the Stoor Worm. The Stoor Worm, who had been asleep for aeons was beginning to waken. Its Hatchlings were abroad to terrorize the people who had forgotten all about them. But how could Phelim, who was only a boy, after all, save the world from all these dreadful monsters?",3.62,NA,1,0,1,0,88,3.628,193,-0.3125
21,21,"0192718088","Jack Holborn (Oxford Children's Modern Classics)","Leon Garfield",1999,"Oxford University Press","An action-packed pirate story, with bloodcurdling deaths, terrifying ghosts and adventures galore on the high seas. Orphan Jack Holborn stows away on a ship, little guessing the dangers and excitements that lie on his journey ahead. Before long he finds himself caught up in the middle of a mystery surrounding his long-lost mother, but before he can discover the truth, he has to survive the quest through an eerie African jungle for a famous diamond, worth more than Jack's wildest dreams.",3.72,218,1,0,0,2,23,3.842,87,0.633333333333333
22,22,"019271905X","Going for Stone","Philip Gross",2002,"Oxford University Press","Combines a literary novel with an undercurrent of real horror. This book deals with issues, relevant to many young people, of falling under the sway of a cult, and of striving for perfection. The author is a well-known poet for both adults and children, and has been shortlisted for the Whitbread Poetry Award.",3.16,NA,2,0,0,0,9,3.57,37,0.683333333333333
23,23,"0192719424","The Lastling","Philip Gross",2003,"Oxford University Press","Paris is on a trek in the Himalayas with her uncle and her uncle's friends. On the way they come across a young Tibetan monk, Tahr, who reluctantly joins their party as his protector has died in an accident. As the trek progresses, Paris realizes the true reason for the journey - her uncle and his friends are a strange, gourmet dining club, dedicated to hunting down and eating the rarest possible animals. So when they discover a young yeti-like creature, who is very nearly humanherself, Tahr convinces Paris that they have a duty to protect her, come what may.Philip Gross is a well-known poet for both adults and children, and has been shortlisted for the Whitbread Poetry Award",3,225,1,0,0,1,9,3.57,37,0.6
24,24,"0192750194","How to Survive Summer Camp (Oxford Junior Fiction S.)","Jacqueline Wilson",1999,"Oxford University Press","Stella is determined not to enjoy her summer at holiday camp but finds herself making friends, getting into trouble, and generally having more of a good time than she expected. A new cover for this best-selling book which continues to delight readers everywhere. Jacqueline Wilson is one of the UK's top three bestselling children's authors and has won many prizes and reached phenomenal sales levels Funky new cover by up-and-coming artist, Melanie Williamson",3.57,164,63,5,0,2,2104,3.71,246,2.93333333333333
25,25,"0192750356","River Boy","Tim Bowler",1999,"Oxford University Press","While trying to cope with the knowledge that her grandfather is dying, Jess meets a boy who challenges her to swim down the river to the sea - her grandfather's ambition. The boy then disappears, and Jess learns her grandfather has died peacefully.",3.71,144,6,3,1,0,121,3.748,37,0.3
26,26,"0192750542","Flambards in Summer","Kathleen M. Peyton",1999,"Oxford University Press","Widowed during the First World War at the age of 21, Christina returns to Flambards in the hope of picking up the threads of the life she knew before her marriage. But the house is not the same - the paddocks are a jungle and the once busy stables are desolate. Christina sets herself to the task of returning Flambards to its former glory.",4.01,192,434,16,0,1,NA,NA,NA,-0.133333333333333
27,27,"0192750755","The Odyssey of Homer (Oxford Myths &amp; Legends)","Barbara Leonie Picard",2000,"Oxford University Press","This is the exciting story of Odysseus's epic journey home. After the fall of Troy, Odysseus sets sail for his island kingdom of Ithaca, not knowing that his voyage will take all of ten years. Along the way, he is to face many dangers, including the one-eyed giant Polyphemus, Circe's enchanted island, and the sirens who lure sailors to their death. He even journeys down into the underworld and meets the dead Greek heroes. And all the time, his wife and son are waiting, hoping against hope that he will come and help them face the men who have invaded their home.<br /> Homer's great epic poem is brought to pulsating life in this critically acclaimed, classic retelling by Barbara Leonie Picard.",3.93,288,43,6,0,1,7,4.203,33,0.791666666666667
28,28,"0192750917","The Stones Are Hatching","Geraldine McCaughrean",2000,"Oxford University Press","Phelim was the only one who could save the world from the Hatchlings of the Stoor Worm. The Stoor Worm, who had been asleep for aeons was beginning to waken. Its Hatchlings were abroad to terrorize the people who had forgotten all about them. But how could Phelim, who was only a boy, after all, save the world from all these dreadful monsters?",3.62,192,8,1,1,0,88,3.628,193,-0.3125
29,29,"019275095X","The War Orphan","Rachel Anderson",2000,"Oxford University Press","When Ha arrives as part of Simon's family, the nightmares arrive too. And Simon begins to uncover a war-story which is not the one he wanted to hear. Is the story Simon hears in his head his own, or does it belong to this child who his parents now say is his brother - Ha, the war orphan? This novel is with a background in the Vietnam War.",3.43,NA,12,0,0,1,6,3.298,66,-0.35
30,30,"0192751581","River Boy","Tim Bowler",2001,"Oxford University Press","While trying to cope with the knowledge that her grandfather is dying, Jess meets a boy who challenges her to swim down the river to the sea - her grandfather's ambition. The boy then disappears, and Jess learns her grandfather has died peacefully.",3.71,NA,11,1,1,0,121,3.748,37,0.3
31,31,"0192752111","The Bread Winner","Deborah Ellis",2001,"Oxford University Press","Afghanistan: Parvana's father is arrested and taken away by the Taliban solders. Under Taliban law, women and girls are not allowed to leave home. Parvana, her mother and sisters must stay inside. Four days later, the food runs out. They face starvation. So Parvana must pretend to be a boy. It is a dangerous plan, but their only chance. In fear she goes out - and witnesses the horror of avoiding landmines, and the brutality of the Taliban. She suffers beatings and the desperation of trying to survive. But even in despair lies hope. The media is bombarding children with images. How are they to understand the reality of a girl's life under Taliban rule? This book tells about real life in Afghanistan. By an award-winning author, this novel tells the story of Parvana, who must disguise herself as a boy to save her mother and sisters from starvation. Based on impeccable research in an Aghan refugee camp. An honest, heart-breaking and positive story of an act of enormous courage and creative survival in an intolerable environment.",3.92,174,36,8,0,0,246,3.934,60,-0.19375
32,32,"0192752294","The House of Rats","Stephen Elboz",2003,"Oxford University Press","Features a fantasy about four children who are stranded in a mysterious gothic house. There are wolves prowling at the door and escape seems impossible, until they discover a whole new world under the house. With the help of the inhabitants, the rats, who live there, the children realize there might be one last chance at freedom after all.",3.35,144,21,4,0,0,2,3.523,24,0.05
33,33,"0192752375","Borderland (Rights of Passage)","Rhiannon Lassiter",2003,"Oxford University Press","Zoe really wants to be friends with Laura. And suddenly, out of the blue at a party, that seems possible. But Laura has a secret. An amazing secret. A door into another world...<br />Laura and her brother, Alex, treat the world of Shattershard as a bit of a playground. But Zoe isn't so sure. Is it right for them to be there at all? Should they be getting involved? Or are they putting everyone in the new world - as well as themselves - into terrible danger?",3.48,218,18,2,0,2,56,3.668,24,0.255555555555556
34,34,"0192753053","Starseeker","Tim Bowler",2003,"Oxford University Press","Luke is in trouble. Skin and the gang have a job for him. They want him to break into Mrs Little's house and steal the jewellery box. But Luke finds more than just a jewellery box in the house. He finds something so unexpected it will change his life forever.",4.11,NA,575,45,0,0,121,3.748,37,-0.51
35,35,"0192753355","Unique","Alison Allen-Gray",2004,"Oxford University Press","When Dominic discovers he had an older brother who died before he was born he realizes the reason why he is such a disappointment to his father. His brother was a brilliant academic and promising scientist - but Dominic prefers to spend his time painting. Dominic heads for Cambridge to find out more about his brother and discovers much more than he ever bargained for - after his brother's death his father had him cloned and the result was Dominic. How can Dominic ever live with this mindblowing discovery? If the truth is ever made public it could put people's lives in danger - including his own.",3.58,244,330,26,0,0,6,3.70333333333333,3,0.68
36,36,"0192762583","One Hundred Years of Poetry for Children","Michael Harrison",2000,"Oxford University Press","This book celebrates the last century of poetry written for children by collecting some of the most genre-representative classic and contemporary verses in one volume. The twentieth century has seen an explosion in the number of poets writing for children, and in the amount of accessible poetry available to them. This collection is arranged thematically. From Rudyard Kipling to Charles Causley, from Ogden Nash to Michael Rosen, the style and subject matter of the selections ranges dramatically. Familiar, popular poems alternate with some less well-known rhymes, grouped together under headings such as childhood, war, animals and mystery. In One Hundred Years of Poetry for Children, Michael Harrison and Christopher Stuart-Clark have compiled a treasure trove of the best children's poems from all over the English-speaking world.",3.78,192,2,0,0,4,0,3.979,52,0.983333333333333
37,37,"0192799606","Sanji and the Baker","Robin Tzannes",1998,"Oxford University Press","Every morning and evening, Sanji sniffs the delicious smells that rise from the bakery below. When the Baker accuses Sanji of stealing his smells, and takes him to court, Sanji must figure a way out of a delicate situation, which he does with a very creative judge's help.<br /> This humorous and imaginative picture book for young readers, set in the Middle East, asserts the simple moral that you can't put a monetary price on the simple pleasures of the senses. Beautiful illustrations by Korky Paul, the illustrator for Winnie in Winter, guarantee that Sanji and the Baker will be a popular choice for children and for reading aloud.",4.43,32,6,1,0,3,0,1.75,7,1.525
38,38,"0192800027","The Concise Oxford Dictionary of Proverbs (Oxford Paperback Reference)","John Simpson",1994,"Oxford University Press","From Roman times to the computer age, proverbs have added spice to our language. This new edition of the Concise Oxford Dictionary of Proverbs contains over 1,000 of the best-known proverbs from around the world, including 100 new to this edition. For example, did you know that A trouble shared is a trouble halved wasn't recorded before the twentieth century? Or that A watched pot never boils first appears as late as 1848? With new proverbs from the computer world and economics, such as Garbage in, garbage out and There's no such thing as a free lunch, and popular show business phrases like The best thing in life are free, from the 1927 song, this fascinating guide provides every major proverb in use in the twentieth century, old and new. Numerous illustrative quotations provide a documentary history of each proverb from its first recorded use in written English, and earlier related forms in other languages are also provided. Plus, a new thematic index allows the reader to find proverbs dealing with particular subjects and situations as diverse as beauty and bee keeping, warfare and weather.<br /> Up-to-date and authoritative, The Concise Oxford Dictionary of Proverbs is an invaluable resource for writers, students, phraseologists, and just plain word-lovers.",3.73,336,11,1,0,1,NA,NA,NA,1.2125
39,39,"0192800329","A Dictionary of Biology (Oxford Paperback Reference)","Oxford University Press",1996,"Oxford University Press","This major revision of A Dictionary of Biology, including over 1,500 new entries, is the most up-to-date biology dictionary available. Including 4,000 clear and concise entries, it covers all the commonly encountered terms and concepts in biology, biophysics, and biochemistry, as well as terms from medicine and palaeontology taking into account the recent advances in these fields. Conforming to the recommendations of the Institute of Biology, both in its definition of terms and system of classification, this superb dictionary offers authoritative coverage of current areas of study such as molecular biology, genetics (including genetic engineering), and biotechnology, and new areas such as food technology, geomicrobiology, and glycobiology. It is the perfect reference source for anyone interested in this dynamic field.",3.67,560,3,0,0,0,81,4.194,1411,3.0625
40,40,"0192800337","Concise Science Dictionary (Oxford Paperback Reference)","Alan Isaacs",1996,"Oxford University Press","Written in a clear, explanatory style, the new Third Edition of the ""Concise Science Dictionary"" contains more than 8,500 entries relating to physics, chemistry, biology (including human biology), the earth sciences, and astronomy, as well as terms that are commonly encountered in mathematics and computer science. The new edition has been expanded to reflect recent advances in molecular biology, genetics and genetic engineering, particle physics, cosmology, and fullerene chemistry, immunology, and the techniques and material new to all the sciences. Providing both straightforward definitions and invaluable background information on a wide range of scientific words, concepts, and topics, the entries also offer line-drawings whenever the meaning is best conveyed by way of a diagram. Charts and tables of essential scientific information are also integrated throughout.With an extensive cross-referencing system that allows readers to place each entry in a broader scientific context, periodic tables, tables of SI units, and classifications of the plant and animal kingdoms, the ""Concise Science Dictionary"" is invaluable for non-specialists and students, and an essential resource for professionals seeking an accessible guide to all scientific disciplines.",0,800,0,0,1,0,0,0,36,3.3625
41,41,"019280068X","An A-Z of Sailing Terms (Oxford Paperback Reference)","Ian Dear",1999,"Oxford University Press","Handy and authoritative, this invaluable guide deserves a place on every sailor's bookshelf. Abridged from the acclaimed Oxford Companion to Ships and the Sea, An A-Z of Sailing Terms provides detailed explanations of nearly 1,500 sailing terms, covering everything from ""booby-hatch"" and ""growler"" to ""jack in the basket"" and ""throat seizing.""<br /> Included are entries on navigational and meteorological subjects, weather lore, sailing expressions, and catch phrases--""to the bitter end,"" for example, is a sailing term that has now passed to general use. The 150 illustrations are themselves a comprehensive guide to rigs and rigging, knots, tackles, and a wide variety of onboard fittings and equipment. Fully revised and updated, this useful reference also includes coverage of the latest racing rules and modern yacht design.",3.14,224,3,0,0,0,0,3.195,26,1.29
